tmdbId,genres
544,"Romance, Comedy"
9880,"Comedy, Family, Romance"
5548,"Action, Thriller, Science Fiction"
2770,"Comedy, Romance"
97367,"Drama, Crime"
661374,"Comedy, Crime, Mystery"
1491,"Fantasy, Drama, Thriller, Romance"
268896,"Action, Fantasy, Science Fiction, Adventure"
4547,"Crime, Drama, Thriller"
5559,"Family, Animation, Adventure, Comedy"
308266,"Comedy, Crime, Drama"
508947,"Animation, Family, Comedy, Fantasy"
9377,Comedy
88751,"Action, Science Fiction, Adventure, Comedy, Family"
310307,"Drama, History"
2118,"Crime, Mystery, Thriller"
559969,"Crime, Drama, Thriller, Action"
693,"Comedy, Romance"
117251,"Action, Drama, Thriller"
52449,Comedy
7485,"Action, Drama, Mystery, Thriller, Crime"
569094,"Animation, Action, Adventure"
563,"Adventure, Action, Thriller, Science Fiction"
41630,"Comedy, Romance"
8078,"Science Fiction, Horror, Action"
2109,"Action, Comedy, Crime"
298312,"Horror, Mystery"
1265,"Adventure, Drama, Family"
46529,"Action, Thriller, Science Fiction, Adventure"
2667,"Horror, Mystery"
509967,"Action, Comedy, Thriller"
433,"Comedy, Family, Fantasy"
424139,"Horror, Thriller"
10947,"Comedy, Drama, Family, Music, Romance, TV Movie"
10865,"Animation, Family, Adventure, Science Fiction"
36586,"Fantasy, Horror, Action, Thriller"
8065,"Drama, Crime"
522681,"Horror, Thriller, Mystery"
376570,"Horror, Thriller"
14306,"Comedy, Family"
34544,"Thriller, Action, Adventure, Comedy, Crime"
320,"Thriller, Crime"
15512,"Animation, Family, Adventure, Science Fiction"
8839,"Fantasy, Comedy, Family"
473033,"Drama, Thriller, Crime"
9023,"Animation, Adventure, Comedy, Family, Drama"
1878,"Adventure, Drama, Comedy"
9802,"Action, Adventure, Thriller"
227156,"Drama, Science Fiction"
109428,Horror
272693,"Romance, Comedy"
9928,"Animation, Comedy, Family, Science Fiction"
133805,"Drama, Horror"
38050,"Science Fiction, Thriller, Romance"
59440,"Drama, Action"
9428,"Comedy, Drama"
2493,"Adventure, Family, Fantasy, Comedy, Romance"
278154,"Adventure, Animation, Family, Comedy, Science Fiction"
1700,"Drama, Thriller"
17979,"Animation, Family, Fantasy"
941,"Adventure, Action, Comedy, Thriller, Crime"
325133,Comedy
756999,"Horror, Thriller"
97630,"Thriller, Drama, History"
7299,"Action, Science Fiction, Thriller"
2907,"Comedy, Fantasy"
37834,"Action, Comedy"
7518,"Family, Comedy, Animation"
71552,Comedy
8916,"Adventure, Animation, Comedy, Family"
9732,"Family, Adventure, Animation, Action"
6477,"Comedy, Family, Fantasy, Animation"
291870,Comedy
338766,"Western, Crime, Drama"
134374,"Action, Crime, Comedy"
55721,"Comedy, Romance"
514999,"Action, Comedy, Mystery"
9637,"Mystery, Adventure, Comedy"
2787,"Thriller, Science Fiction, Action"
9522,"Comedy, Romance"
224141,"Fantasy, Comedy"
813,Comedy
400155,"Animation, Comedy, Family, Fantasy"
138697,"Romance, Comedy, Drama"
9366,"Crime, Drama, Thriller"
10830,"Comedy, Family, Science Fiction"
686,"Drama, Science Fiction, Mystery"
9679,"Action, Crime, Thriller"
11886,"Animation, Family"
249164,Drama
45317,Drama
615,Drama
1374,Drama
9603,"Comedy, Romance"
214,"Horror, Thriller, Crime"
640146,"Action, Adventure, Science Fiction"
3021,"Horror, Mystery, Thriller"
4133,"Crime, Drama"
1367,Drama
501170,"Horror, Thriller, Fantasy"
33,Western
492,"Comedy, Drama, Fantasy"
2698,"Fantasy, Comedy, Family"
9602,"Comedy, Romance"
72545,"Adventure, Action, Science Fiction"
2978,"Comedy, Fantasy"
22971,"Drama, Romance, War"
116741,Comedy
109418,Comedy
438695,"Animation, Family"
91586,"Horror, Thriller"
193756,"War, Action, Drama, History"
567609,"Comedy, Horror, Thriller"
9800,Drama
376659,Comedy
164,"Comedy, Romance, Drama"
385687,"Action, Crime, Thriller"
3580,"Crime, Drama, Mystery"
227306,"Drama, War"
225886,Comedy
356305,Comedy
227159,Comedy
1578,Drama
7451,"Action, Adventure, Thriller"
1585,"Drama, Family, Fantasy"
1452,"Science Fiction, Action, Adventure"
4327,"Action, Adventure, Comedy, Crime, Thriller"
840,"Science Fiction, Drama"
279,"History, Music, Drama"
376660,"Comedy, Drama"
27581,"Action, Comedy, Crime"
274479,"Drama, Comedy"
22954,"Drama, History"
547016,"Action, Fantasy"
8699,Comedy
136400,"Action, Comedy, Crime"
184315,"Action, Adventure"
270946,"Family, Animation, Adventure, Comedy"
5503,"Action, Thriller, Drama"
525,"Music, Comedy, Action, Crime"
696806,"Adventure, Science Fiction"
1885,"Action, Family, Drama"
9016,"Adventure, Animation, Family, Fantasy, Science Fiction"
82682,"Crime, Drama, Action, Thriller"
72570,"Drama, Romance"
9820,"Comedy, Family"
8273,"Comedy, Romance"
10229,"Drama, Romance"
6947,"Drama, Mystery, Thriller"
188161,"Comedy, Western"
9273,"Crime, Comedy, Adventure"
52520,"Fantasy, Action, Horror"
72710,"Action, Adventure, Science Fiction"
460019,"Thriller, Horror"
1701,"Action, Thriller, Crime"
4256,Comedy
1371,Drama
205587,Drama
351460,"Crime, Fantasy, Horror, Thriller"
213,"Mystery, Thriller"
34851,"Science Fiction, Action, Thriller"
379686,"Family, Animation, Comedy, Science Fiction"
8965,"Fantasy, Animation, Science Fiction, Family, Action"
2789,"Action, Science Fiction"
834,"Fantasy, Action, Thriller"
49524,"Fantasy, Action, Comedy"
9342,"Action, Adventure"
526896,"Action, Science Fiction, Fantasy"
228161,"Fantasy, Comedy, Animation, Science Fiction, Family"
593643,"Comedy, Thriller, Horror"
770,"Drama, War, Romance"
5175,"Action, Comedy, Crime"
442249,"Horror, Action, Thriller"
571,Horror
537996,"Western, Comedy, Drama"
4233,"Horror, Mystery"
10196,"Action, Adventure, Fantasy"
36955,"Action, Thriller"
4964,"Comedy, Romance, Drama"
9358,"Horror, Mystery"
869,"Thriller, Science Fiction, Action, Adventure"
639,"Comedy, Romance, Drama"
1587,"Romance, Drama"
590223,"Comedy, Action, Adventure, Fantasy"
503736,"Action, Crime, Drama, Horror, Science Fiction, Thriller, Fantasy"
9297,"Animation, Comedy, Family, Fantasy"
90,"Action, Comedy, Crime"
9837,"Adventure, Animation, Drama, Family"
8920,"Animation, Comedy, Family"
10719,"Comedy, Family, Fantasy"
9982,"Animation, Family, Comedy"
8835,"Comedy, Romance"
3981,"Comedy, Romance"
345911,"Horror, Thriller, Mystery"
277216,"Drama, Music, History"
417678,"Drama, Romance"
489999,"Thriller, Mystery, Drama"
1493,"Comedy, Crime, Action"
